Id. RCE,NAF,Raison sociale,Enseigne,Tranche effectif (INSEE),Effectif ACOSS (ou recueilli),Adresse principale,Code postal,Commune acheminement postal
29572396,7010Z,MAVERYM,,SANS SALARIE,0,44 ROUTE DE MONTELIMAR,7200,ST DIDIER SOUS AUBENAS
23405290,7010Z,PFH,,1 OU 2 SALARIES,1,12 RUE MAGENTA,69100,VILLEURBANNE
18816779,7010Z,SB FINANCES,,SANS SALARIE,0,3 IMPASSE DES PAQUERETTES,38280,JANNEYRIAS
27194942,7010Z,MAYA COIFF',,SANS SALARIE,0,18 RUE MARIETTON,69009,LYON
28945639,7010Z,PSO,Bistrot du boulevard,SANS SALARIE,0,57 BOULEVARD DE LA CROIX ROUSSE,69004,LYON
25120660,7010Z,BIJOUTERIE LANGLOIS SAINT JACQUES,,SANS SALARIE,0,QUAI LEDRU ROLLIN,3100,MONTLUCON
1723673,7010Z,BRIANT ETREMBIERES,LES OREADES,SANS SALARIE,0,21 CTRE COMMERCIAL SHOPPING,74100,ETREMBIERES
32339551,7010Z,BIO CIVRIEUX DISTRIBUTION,,SANS SALARIE,0,ROUTE DE LYON,69380,CIVRIEUX D AZERGUES
25327892,7010Z,LES BISOUNOURS,,3 A 5 SALARIES,3,80 RUE DES ARTISANS,26750,CHATILLON ST JEAN
9416269,7010Z,SARL ACA AIGUESPARSES,SARL ACA AIGUESPARSES,1 OU 2 SALARIES,1,BOULEVARD ETIENNE CLEMENTEL,63100,CLERMONT FERRAND
28075736,7010Z,NORCADIE PRODUCTION INC,,SANS SALARIE,0,146 ST MAURE,BALMO,CANADA
27606729,7010Z,JEMINI,,3 A 5 SALARIES,0,93 AVENUE GABRIEL PERI,38150,ROUSSILLON
26941403,7010Z,AYA,,SANS SALARIE,0,5 RUE PUITS GAILLOT,69001,LYON
25793692,7010Z,BRESSON ONDET & ASSOCIES,BOC,6 A 9 SALARIES,6,2 RUE DE LA CITE,63100,CLERMONT FERRAND
26659686,7010Z,BOCHATAY MISSILLIER,,SANS SALARIE,0,23 RUE DU DOCTEUR GALLET,74300,CLUSES
25242388,7010Z,B O F,,1 OU 2 SALARIES,1,18 RUE HIPPOLYTE FLANDRIN,69001,LYON
28921655,7010Z,2EK,,SANS SALARIE,0,253 CHEMIN DE DERBOUX,26790,ROCHEGUDE
24130476,7010Z,MI-CH,L'AVALANCHE,3 A 5 SALARIES,3,189 ROUTE DE SAINT JULIEN,74520,VALLEIRY
20877811,7010Z,BONJOUR RITTON,,3 A 5 SALARIES,3,2915 ROUTE DE STRASBOURG,69140,RILLIEUX LA PAPE
27447975,7010Z,BC AUTO CONTROLE,,,0,68 BOULEVARD FAYOL,42700,FIRMINY
28628959,7010Z,LISA,,SANS SALARIE,0,6 GRANDE RUE DE LA CROIX ROUSSE,69004,LYON
26630488,7010Z,THE SNACK CITY,,SANS SALARIE,0,2 CHEMIN LE CORBUSIER,69120,VAULX EN VELIN
29662622,7010Z,GILLES CHARROIN,BOUCHERIE GILLES CHARROIN,SANS SALARIE,0,RUE SIMONE VEIL,63950,ST SAUVES D AUVERGNE
11333935,7010Z,SARL DACAZ,SNC BOUCHET BOURDON,3 A 5 SALARIES,3,21 ALLEE DE L EPERVIERE,26000,VALENCE
26923641,7010Z,BOULANGERIE FROQUET,,SANS SALARIE,0,PLACE DE LA MAIRIE,69670,VAUGNERAY
27414089,7010Z,BOULANGERIE DES FRANGINS,,SANS SALARIE,0,38 RUE FERRANDIERE,69002,LYON
19099227,7010Z,BOULANGERIE MONNET,,10 A 19 SALARIES,10,4 PLACE FRANCOIS MITTERRAND,69150,DECINES CHARPIEU
20316512,7010Z,BOURJAILLAT FLOTIN,GRILL DE CHALLES,6 A 9 SALARIES,6,CHEMIN DE SAINT VINCENT,73190,CHALLES LES EAUX
26928077,7010Z,BOZON SPORTS,,SANS SALARIE,0,18 ROUTE HENRIETTE D ANGEVILLE,74400,CHAMONIX MONT BLANC
29234898,7010Z,TRANSPORTS BRAIZAT,,SANS SALARIE,0,74 RUE DES BERNACLES,74130,BONNEVILLE
9435637,7010Z,CHRISTOPHE BRASIER,LE REDON,SANS SALARIE,0,187 ROUTE DES NOYERS,74550,PERRIGNIER
18692275,7010Z,LUDOPAT V,BRASSERIE DE L'HIEN,1 OU 2 SALARIES,1,473 MONTEE DU VILLAGE,38110,ST VICTOR DE CESSIEU
26821426,7010Z,MC2E,BRASSERIE DE LA PATRIE,3 A 5 SALARIES,5,58 AVENUE DU MARECHAL DE SAXE,69003,LYON
